"name","ring","quadrant","isNew","description"
".Net Core","Adopt","Frameworks and Libraries","FALSE","None"
"Net Full-Framework","Adopt","Frameworks and Libraries","FALSE","None"
"WPF","Adopt","Frameworks and Libraries","FALSE","None"
"Spring","Adopt","Frameworks and Libraries","FALSE","None"
"Selenium","Adopt","Frameworks and Libraries","FALSE","None"
"Angular","Adopt","Frameworks and Libraries","FALSE","None"
"Playwrite","Adopt","Frameworks and Libraries","FALSE","None"
"OpenLayers","Adopt","Frameworks and Libraries","FALSE","None"
"NServiceBus","Adopt","Frameworks and Libraries","FALSE","None"
"WPF","Hold","Frameworks and Libraries","FALSE","None"
"WCF","Hold","Frameworks and Libraries","FALSE","None"
"Esri ArcMap and ArcGIS Server","Adopt","Infrastructure and tools","FALSE","None"
"Azure","Adopt","Infrastructure and tools","FALSE","None"
"AWS","Adopt","Infrastructure and tools","FALSE","None"
"GCP","Adopt","Infrastructure and tools","FALSE","None"
"Visual Studio","Adopt","Infrastructure and tools","FALSE","None"
"IntelliJ and PyCharm","Adopt","Infrastructure and tools","FALSE","None"
"Postman","Adopt","Infrastructure and tools","FALSE","None"
"Coverity","Adopt","Infrastructure and tools","FALSE","None"
"Kubernetes","Adopt","Infrastructure and tools","FALSE","None"
"Terraform","Adopt","Infrastructure and tools","FALSE","None"
"Docker","Adopt","Infrastructure and tools","FALSE","None"
"Azure Pipelines","Adopt","Infrastructure and tools","FALSE","None"
"Azure App Service","Adopt","Infrastructure and tools","FALSE","None"
"Azure Application Gateway","Adopt","Infrastructure and tools","FALSE","None"
"Azure Event Hub","Adopt","Infrastructure and tools","FALSE","None"
"Azure Function Apps","Adopt","Infrastructure and tools","FALSE","None"
"Azure DevSpaces","Adopt","Infrastructure and tools","FALSE","None"
"Azure Kubernetes Service","Adopt","Infrastructure and tools","FALSE","None"
"GitHub","Adopt","Infrastructure and tools","FALSE","None"
"Azure CosmosDB","Adopt","Data Management","FALSE","None"
"SQL Server","Adopt","Data Management","FALSE","None"
"Hasuara","Adopt","Data Management","FALSE","None"
"Azure Event Grid","Adopt","Data Management","FALSE","None"
"Azure CosmosDB","Adopt","Data Management","FALSE","None"
"Kibana","Adopt","Data Management","FALSE","None"
"LogStash","Adopt","Data Management","FALSE","None"
"Java 8","Adopt","Languages","FALSE","None"
"Java 11","Trial","Languages","FALSE","None"
"Kotlin","Adopt","Languages","FALSE","None"
"C#","Adopt","Languages","FALSE","None"
"C++","Hold","Languages","FALSE","None"
"Python","Adopt","Languages","FALSE","None"
"TypeScript","Adopt","Languages","FALSE","None"
"Visual Basic","Hold","Languages","FALSE","None"
"PowerShell","Adopt","Languages","FALSE","None"
"JavaScript","Adopt","Languages","FALSE","None"
